Platform_ID;Platform
PL001;Wii
PL002;NES
PL001;Wii
PL001;Wii
PL003;GB
PL003;GB
PL004;DS
PL001;Wii
PL001;Wii
PL002;NES
PL004;DS
PL004;DS
PL003;GB
PL001;Wii
PL001;Wii
PL005;X360
PL006;PS3
PL007;PS2
PL008;SNES
PL004;DS
PL004;DS
PL003;GB
PL002;NES
PL005;X360
PL007;PS2
PL009;GBA
PL004;DS
PL004;DS
PL007;PS2
PL005;X360
PL003;GB
PL005;X360
PL010;3DS
PL011;PS4
PL006;PS3
PL005;X360
PL005;X360
PL006;PS3
PL007;PS2
PL001;Wii
PL006;PS3
PL004;DS
PL010;3DS
PL005;X360
PL011;PS4
PL004;DS
PL012;N64
PL007;PS2
PL001;Wii
PL010;3DS
PL003;GB
PL005;X360
PL013;PS
PL010;3DS
PL006;PS3
PL006;PS3
PL006;PS3
PL008;SNES
PL009;GBA
PL004;DS
PL001;Wii
PL005;X360
PL005;X360
PL012;N64
PL010;3DS
PL005;X360
PL013;PS
PL006;PS3
PL001;Wii
PL013;PS
PL005;X360
PL008;SNES
PL005;X360
PL010;3DS
PL004;DS
PL005;X360
PL008;SNES
PL011;PS4
PL001;Wii
PL014;XB
PL001;Wii
PL004;DS
PL006;PS3
PL015;PC
PL012;N64
PL001;Wii
PL007;PS2
PL013;PS
PL004;DS
PL016;2600
PL017;PSP
PL001;Wii
PL011;PS4
PL011;PS4
PL012;N64
PL013;PS
PL002;NES
PL010;3DS
PL005;X360
PL005;X360
PL001;Wii
PL018;XOne
PL001;Wii
PL006;PS3
PL007;PS2
PL013;PS
PL013;PS
PL019;GC
PL020;WiiU
PL011;PS4
PL019;GC
PL001;Wii
PL006;PS3
PL007;PS2
PL007;PS2
PL006;PS3
PL013;PS
PL001;Wii
PL005;X360
PL006;PS3
PL006;PS3
PL006;PS3
PL004;DS
PL006;PS3
PL011;PS4
PL001;Wii
PL006;PS3
PL002;NES
PL006;PS3
PL014;XB
PL009;GBA
PL007;PS2
PL003;GB
PL005;X360
PL005;X360
PL019;GC
PL008;SNES
PL015;PC
PL013;PS
PL005;X360
PL005;X360
PL005;X360
PL007;PS2
PL021;GEN
PL006;PS3
PL013;PS
PL006;PS3
PL007;PS2
PL006;PS3
PL004;DS
PL001;Wii
PL013;PS
PL013;PS
PL004;DS
PL011;PS4
PL002;NES
PL006;PS3
PL012;N64
PL005;X360
PL006;PS3
PL005;X360
PL017;PSP
PL009;GBA
PL009;GBA
PL009;GBA
PL012;N64
PL006;PS3
PL007;PS2
PL006;PS3
PL006;PS3
PL003;GB
PL003;GB
PL005;X360
PL013;PS
PL007;PS2
PL012;N64
PL005;X360
PL004;DS
PL013;PS
PL007;PS2
PL007;PS2
PL015;PC
PL009;GBA
PL020;WiiU
PL003;GB
PL005;X360
PL004;DS
PL008;SNES
PL010;3DS
PL004;DS
PL007;PS2
PL003;GB
PL005;X360
PL018;XOne
PL015;PC
PL007;PS2
PL006;PS3
PL018;XOne
PL017;PSP
PL006;PS3
PL003;GB
PL013;PS
PL013;PS
PL020;WiiU
PL013;PS
PL013;PS
PL001;Wii
PL007;PS2
PL005;X360
PL004;DS
PL006;PS3
PL007;PS2
PL004;DS
PL012;N64
PL017;PSP
PL002;NES
PL006;PS3
PL015;PC
PL006;PS3
PL006;PS3
PL013;PS
PL011;PS4
PL005;X360
PL013;PS
PL007;PS2
PL013;PS
PL001;Wii
PL007;PS2
PL005;X360
PL013;PS
PL001;Wii
PL008;SNES
PL019;GC
PL001;Wii
PL010;3DS
PL020;WiiU
PL011;PS4
PL005;X360
PL007;PS2
PL016;2600
PL007;PS2
PL007;PS2
PL013;PS
PL011;PS4
PL006;PS3
PL007;PS2
PL020;WiiU
PL001;Wii
PL007;PS2
PL007;PS2
PL005;X360
PL002;NES
PL007;PS2
PL006;PS3
PL021;GEN
PL007;PS2
PL005;X360
PL005;X360
PL016;2600
PL005;X360
PL018;XOne
PL020;WiiU
PL006;PS3
PL006;PS3
PL009;GBA
PL007;PS2
PL017;PSP
PL015;PC
PL010;3DS
PL007;PS2
PL007;PS2
PL011;PS4
PL006;PS3
PL005;X360
PL006;PS3
PL005;X360
PL002;NES
PL002;NES
PL013;PS
PL007;PS2
PL011;PS4
PL015;PC
PL008;SNES
PL007;PS2
PL001;Wii
PL008;SNES
PL001;Wii
PL018;XOne
PL015;PC
PL005;X360
PL007;PS2
PL005;X360
PL007;PS2
PL013;PS
PL007;PS2
PL011;PS4
PL012;N64
PL011;PS4
PL002;NES
PL006;PS3
PL004;DS
PL005;X360
PL007;PS2
PL001;Wii
PL011;PS4
PL003;GB
PL007;PS2
PL006;PS3
PL010;3DS
PL006;PS3
PL015;PC
PL007;PS2
PL002;NES
PL006;PS3
PL011;PS4
PL007;PS2
PL004;DS
PL013;PS
PL003;GB
PL004;DS
PL001;Wii
PL010;3DS
PL011;PS4
PL001;Wii
PL005;X360
PL013;PS
PL017;PSP
PL001;Wii
PL015;PC
PL001;Wii
PL013;PS
PL011;PS4
PL013;PS
PL013;PS
PL007;PS2
PL003;GB
PL006;PS3
PL004;DS
PL004;DS
PL007;PS2
PL017;PSP
PL012;N64
PL007;PS2
PL001;Wii
PL006;PS3
PL007;PS2
PL012;N64
PL006;PS3
PL007;PS2
PL011;PS4
PL007;PS2
PL011;PS4
PL007;PS2
PL015;PC
PL007;PS2
PL004;DS
PL019;GC
PL007;PS2
PL013;PS
PL013;PS
PL007;PS2
PL007;PS2
PL013;PS
PL007;PS2
PL007;PS2
PL005;X360
PL005;X360
PL013;PS
PL013;PS
PL005;X360
PL004;DS
PL005;X360
PL008;SNES
PL005;X360
PL002;NES
PL005;X360
PL004;DS
PL007;PS2
PL018;XOne
PL005;X360
PL004;DS
PL018;XOne
PL006;PS3
PL010;3DS
PL005;X360
PL007;PS2
PL011;PS4
PL006;PS3
PL013;PS
PL008;SNES
PL007;PS2
PL003;GB
PL007;PS2
PL013;PS
PL005;X360
PL011;PS4
PL004;DS
PL013;PS
PL012;N64
PL004;DS
PL013;PS
PL005;X360
PL004;DS
PL007;PS2
PL007;PS2
PL001;Wii
PL007;PS2
PL007;PS2
PL007;PS2
PL011;PS4
PL018;XOne
PL007;PS2
PL001;Wii
PL017;PSP
PL010;3DS
PL013;PS
PL018;XOne
PL006;PS3
PL011;PS4
PL010;3DS
PL013;PS
PL002;NES
PL008;SNES
PL013;PS
PL017;PSP
PL017;PSP
PL008;SNES
PL005;X360
PL007;PS2
PL020;WiiU
PL006;PS3
PL001;Wii
PL004;DS
PL007;PS2
PL004;DS
PL019;GC
PL004;DS
PL004;DS
PL006;PS3
PL018;XOne
PL007;PS2
PL013;PS
PL013;PS
PL012;N64
PL004;DS
PL006;PS3
PL002;NES
PL006;PS3
PL005;X360
PL005;X360
PL007;PS2
PL007;PS2
PL002;NES
PL005;X360
PL010;3DS
PL003;GB
PL015;PC
PL005;X360
PL005;X360
PL005;X360
PL001;Wii
PL005;X360
PL013;PS
PL006;PS3
PL014;XB
PL002;NES
PL007;PS2
PL018;XOne
PL005;X360
PL007;PS2
PL007;PS2
PL011;PS4
PL008;SNES
PL015;PC
PL007;PS2
PL007;PS2
PL010;3DS
PL006;PS3
PL015;PC
PL015;PC
PL007;PS2
