Publisher_ID;Publisher
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB002;
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB003;Microsoft Game Studios
PB004;Take-Two Interactive
PB004;Take-Two Interactive
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB004;Take-Two Interactive
PB004;Take-Two Interactive
PB001;Nintendo
PB002;
PB002;
PB005;Sony Computer Entertainment
PB002;
PB001;Nintendo
PB006;Activision
PB001;Nintendo
PB006;Activision
PB006;Activision
PB006;Activision
PB006;Activision
PB006;Activision
PB004;Take-Two Interactive
PB001;Nintendo
PB006;Activision
PB002;
PB001;Nintendo
PB002;
PB004;Take-Two Interactive
PB001;Nintendo
PB001;Nintendo
PB005;Sony Computer Entertainment
PB001;Nintendo
PB001;Nintendo
PB001;Nintendo
PB004;Take-Two Interactive
PB005;Sony Computer Entertainment
PB001;Nintendo
PB005;Sony Computer Entertainment
PB006;Activision
PB002;
PB001;Nintendo
PB001;Nintendo
PB002;
PB007;Ubisoft
PB006;Activision
PB003;Microsoft Game Studios
PB001;Nintendo
PB001;Nintendo
PB003;Microsoft Game Studios
PB005;Sony Computer Entertainment
PB006;Activision
PB007;Ubisoft
PB005;Sony Computer Entertainment
PB006;Activision
PB001;Nintendo
PB003;Microsoft Game Studios
PB001;Nintendo
PB001;Nintendo
PB008;Bethesda Softworks
PB001;Nintendo
PB009;Electronic Arts
PB001;Nintendo
PB003;Microsoft Game Studios
PB001;Nintendo
PB001;Nintendo
PB009;Electronic Arts
PB009;Electronic Arts
PB001;Nintendo
PB010;Sega
PB002;
PB011;SquareSoft
PB001;Nintendo
PB012;Atari
PB004;Take-Two Interactive
PB001;Nintendo
PB009;Electronic Arts
PB006;Activision
PB001;Nintendo
PB005;Sony Computer Entertainment
PB001;Nintendo
PB002;
PB006;Activision
PB009;Electronic Arts
PB001;Nintendo
PB006;Activision
PB007;Ubisoft
PB009;Electronic Arts
PB009;Electronic Arts
PB005;Sony Computer Entertainment
PB005;Sony Computer Entertainment
PB002;
PB001;Nintendo
PB008;Bethesda Softworks
PB001;Nintendo
PB007;Ubisoft
PB009;Electronic Arts
PB002;
PB009;Electronic Arts
PB005;Sony Computer Entertainment
PB002;
PB013;505 Games
PB003;Microsoft Game Studios
PB005;Sony Computer Entertainment
PB006;Activision
PB009;Electronic Arts
PB001;Nintendo
PB004;Take-Two Interactive
PB009;Electronic Arts
PB001;Nintendo
PB008;Bethesda Softworks
PB001;Nintendo
PB007;Ubisoft
PB003;Microsoft Game Studios
PB001;Nintendo
PB005;Sony Computer Entertainment
PB001;Nintendo
PB003;Microsoft Game Studios
PB002;
PB001;Nintendo
PB014;Capcom
PB002;
PB015;GT Interactive
PB003;Microsoft Game Studios
PB003;Microsoft Game Studios
