Game_ID,Device_ID,Date_ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Rating,Daily_Active_Users,Weekly_Active_Users,Monthly_Active_Users,Downloads,Device_Type,Year,Name,Genre,Age,Age_Group,Price_Category,Targated_Audience,
G001,DV001,DT027,41.49,29.02,3.77,8.46,82.74,2.039135748,12985,21982,30762,187827,Console,2006,Wii Sports,Sports,0,15-30,Standard,,
G002,DV001,DT006,29.08,3.58,6.81,0.77,40.24,1.663800111,2324,8571,46357,636332,Console,1985,Super Mario Bros.,Platform,24,15-30, ,Everyone,
G003,DV001,DT029,15.85,12.88,3.79,3.31,35.82,1.432699576,9137,24185,27612,802233,Console,2008,Mario Kart Wii,Racing,22,15-30,Budget,Everyone,
G004,DV002,DT030,15.75,11.01,3.28,2.96,0,3.172007772,8142,9904,31823,558156,PC,2009,Wii Sports Resort,Sports,23,15-30,Standard,Everyone,
G005,DV003,DT017,11.27,8.89,10.22,1,31.37,2.861476888,10732,22123,10102,681646,Handheld,1996,Pokemon Red/Pokemon Blue,Role-Playing,15,15-30,Budget,Not Rated,
G006,DV004,DT010,23.2,2.26,4.22,0.58,30.26,4.183756127,2114,16723,24823,471096,,1989,Tetris,Puzzle,25,15-30,Standard,Everyone,
G007,DV002,DT027,11.38,0,6.5,2.9,30.01,4.901946543,2049,7678,53123,618099,PC,2006,New Super Mario Bros.,Platform,42,31-45,Budget,Not Rated,
G008,DV003,DT027,14.03,9.2,2.93,2.85,29.02,4.986814585,14764,9700,47856,202154,Handheld,2006,Wii Play,,23,15-30,Budget,Everyone,
G009,DV005,DT030,14.59,7.06,4.7,2.26,28.62,3.793685321,6907,28946,12728,918986,Mobile,2009,New Super Mario Bros. Wii,Platform,21,15-30,Budget,Teen,
G010,DV002,DT005,26.93,0.63,0.28,0.47,28.31,3.00607318,2597,23510,53762,93328,PC,1984,Duck Hunt,Shooter,15,15-30,Standard,Matured(17+),
G011,DV001,DT026,9.07,11,1.93,2.75,0,3.077616216,4115,13766,18621,354944,Console,2005,Nintendogs,Simulation,18,15-30,Premium,Everyone,
G012,DV005,DT026,0,7.57,4.13,1.92,23.42,4.661758983,8854,16228,32935,300998,Mobile,2005,Mario Kart DS,Racing,41,31-45,Budget,Everyone,
G013,DV003,DT020,9,6.18,7.2,0.71,23.1,1.340905018,12917,25214,37010,108562,Handheld,1999,Pokemon Gold/Pokemon Silver,Role-Playing,18,15-30,Standard,Not Rated,
G014,DV001,DT028,8.94,8.03,3.6,2.15,22.72,3.050455569,10144,8230,30611,828503,Console,2007,Wii Fit,,27,15-30,Premium,Everyone,
G015,DV003,DT030,9.09,8.59,2.53,1.79,22,2.673100681,18805,6802,12808,896990,Handheld,2009,Wii Fit Plus,Sports,21,15-30,Budget,Teen,
G016,DV004,DT031,14.97,4.94,0.24,1.67,21.82,2.721570737,11276,7955,32920,321117,,2010,Kinect Adventures!,Misc,15,15-30,Standard,Matured(17+),
G017,DV001,DT034,7.01,9.27,0.97,4.14,21.4,2.44228933,14264,26734,56879,436851,Console,2013,Grand Theft Auto V,Action,15,15-30,Free,Teen,
G018,DV005,DT025,9.43,0.4,0.41,10.57,20.81,4.082114954,3040,17033,45327,647666,Mobile,2004,Grand Theft Auto: San Andreas,Action,28,15-30,Premium,,
G019,DV002,DT011,12.78,3.75,3.54,0.55,20.61,2.101614638,8763,7806,44209,963088,PC,1990,Super Mario World,Platform,26,15-30,Budget,Not Rated,
G020,DV002,DT026,4.75,9.26,4.16,2.05,20.22,3.816569325,14026,8492,52358,43461,PC,2005,Brain Age: Train Your Brain in Minutes a Day,Misc,,15-30,Free,Not Rated,
G021,DV001,DT027,6.42,4.52,6.04,1.37,18.36,3.274861072,18512,12326,41397,573810,Console,2006,Pokemon Diamond/Pokemon Pearl,Role-Playing,22,15-30,Budget,Matured(17+),
G022,DV004,DT010,10.83,2.71,4.18,0.42,18.14,1.803296917,9325,21418,50150,774105,,1989,Super Mario Land,Platform,33,31-45,Premium,Teen,
G023,DV003,DT009,9.54,3.44,3.84,0.46,17.28,4.917239653,19318,9445,37377,126739,Handheld,1988,Super Mario Bros. 3,Platform,23,15-30,Standard,Not Rated,
G024,DV004,DT034,9.63,5.31,0.06,1.38,16.38,1.502294573,8308,19995,38568,115173,,2013,Grand Theft Auto V,Action,,15-30,Standard,Not Rated,
G025,DV005,DT023,8.41,5.49,0.47,1.78,16.15,3.494708445,12292,24795,26648,75760,Mobile,2002,Grand Theft Auto: Vice City,Action,15,15-30,Standard,Teen,
G026,DV005,DT023,6.06,3.9,5.38,0.5,15.85,3.718176191,6464,26982,13083,542581,Mobile,2002,Pokemon Ruby/Pokemon Sapphire,,,15-30,Budget,Not Rated,
G027,DV005,DT031,5.57,3.28,5.65,0.82,15.32,1.000569078,18569,11993,44134,288871,Mobile,2010,Pokemon Black/Pokemon White,Role-Playing,15,15-30,Budget,Not Rated,
G028,DV005,DT026,3.44,5.36,5.32,1.18,15.3,1.190257774,18581,19041,19152,117391,Mobile,2005,Brain Age 2: More Training in Minutes a Day,Puzzle,36,31-45,Budget,Matured(17+),
G029,DV005,DT022,6.85,5.09,1.87,1.16,14.98,2.740818446,15700,23426,29070,648615,Mobile,2001,Gran Turismo 3: A-Spec,Racing,38,31-45,Free,,
G030,DV005,DT032,9.03,4.28,0.13,1.32,14.76,3.461565499,13338,29855,38140,805183,Mobile,2011,Call of Duty: Modern Warfare 3,,,15-30,Premium,Matured(17+),
G031,DV002,DT019,5.89,5.04,3.12,0.59,14.64,2.241310549,10783,22023,37809,949768,PC,1998,Pokémon Yellow: Special Pikachu Edition,Role-Playing,37,31-45,Standard,Teen,
G032,DV005,DT031,0,3.73,0.11,1.13,0,1.907470333,9104,17620,56460,340057,Mobile,2010,Call of Duty: Black Ops,Shooter,31,31-45,Free,Everyone,
G033,DV003,DT034,5.17,4.05,4.34,0.79,14.35,2.979879694,6848,10698,12320,375506,Handheld,2013,Pokemon X/Pokemon Y,Role-Playing,31,31-45,Standard,Matured(17+),
G034,DV005,DT036,5.77,5.81,0.35,2.31,14.24,1.519921672,9114,16590,11926,50375,Mobile,2015,Call of Duty: Black Ops 3,Shooter,30,15-30,Budget,Not Rated,
G035,DV002,DT033,4.99,5.88,0.65,2.52,14.03,1.527502126,16251,25919,50914,535037,PC,2012,Call of Duty: Black Ops II,Shooter,30,15-30,Budget,,
G036,DV004,DT033,8.25,4.3,0.07,1.12,13.73,3.979743474,17792,11306,32647,471779,,2012,Call of Duty: Black Ops II,Shooter,19,15-30,Standard,Everyone,
G037,DV001,DT030,8.52,3.63,0.08,1.29,13.51,2.530573929,3919,13443,29992,993810,Console,2009,Call of Duty: Modern Warfare 2,,27,15-30,Budget,Teen,
G038,DV002,DT032,5.54,5.82,0.49,1.62,13.46,1.328701548,18646,24017,41605,976340,PC,2011,Call of Duty: Modern Warfare 3,Shooter,32,31-45,Premium,Matured(17+),
G039,DV004,DT022,6.99,0,0.3,1.3,13.1,1.206790528,15336,17007,52654,871230,,2001,Grand Theft Auto III,Action,0,31-45,Budget,Teen,
G040,DV001,DT029,6.75,2.61,2.66,1.02,13.04,4.755832266,3602,11336,30839,762520,Console,2008,Super Smash Bros. Brawl,Fighting,17,15-30,Budget,Everyone,
G041,DV002,DT031,5.98,4.44,0.48,1.83,12.73,1.376179927,19585,9532,34534,212369,PC,2010,Call of Duty: Black Ops,Shooter,30,15-30,Standard,Teen,
G042,DV003,DT026,2.55,3.52,5.33,0.88,12.27,1.937042016,7822,20083,46817,385336,Handheld,2005,Animal Crossing: Wild World,Simulation,,15-30,Premium,,
G043,DV003,DT032,4.74,3.91,2.67,0.89,12.21,2.450649547,11658,6659,10737,896077,Handheld,2011,Mario Kart 7,Racing,19,15-30,Free,Not Rated,
G044,DV001,DT028,7.97,2.83,0.13,1.21,12.14,1.040484383,16174,8442,47458,608217,Console,2007,Halo 3,Shooter,0,15-30,Premium,Everyone,
G045,DV005,DT035,3.8,5.81,0.36,2.02,0,1.139099228,19449,8732,46772,222154,Mobile,2014,Grand Theft Auto V,Action,28,15-30,Free,Matured(17+),
G046,DV005,DT030,4.4,0,3.96,0.77,11.9,4.321296801,6315,5517,58428,892455,Mobile,2009,Pokemon HeartGold/Pokemon SoulSilver,,40,31-45,Budget,Teen,
G047,DV005,DT017,6.91,2.85,1.91,0.23,11.89,4.264170969,12863,6046,43074,35708,Mobile,1996,Super Mario 64,Platform,18,15-30,Standard,,
G048,DV005,DT025,3.01,0,1.1,7.53,11.66,4.999118808,9064,5673,52865,736588,Mobile,2004,Gran Turismo 4,Racing,36,31-45,Premium,Matured(17+),
G049,DV001,DT028,6.16,3.4,1.2,0.76,11.52,3.835346187,2630,24865,32465,706957,Console,2007,Super Mario Galaxy,Platform,,15-30,Standard,,
G050,DV001,DT035,4.23,3.37,3.08,0.65,11.33,4.809568578,16076,5428,56316,530528,Console,2014,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,30,15-30,Free,Matured(17+),
